原始问题,原始答案,问题分类
什么是车票实名制管理？,车票实名购买和实名查验统称为车票实名制管理。车票实名购买，是指购票人凭乘车人的有效身份证件购买车票，铁路运输企业凭乘车人的有效身份证件销售车票，并记录旅客身份信息和购票信息的行为；车票实名查验，是指铁路运输企业对实行车票实名购买的车票记载的身份信息与乘车人及其有效身份证件进行一致性核对，并记录旅客乘车信息的行为。,证件/实名制
实行车票实名制时可以使用哪些身份证件？,有效身份证件包括：中华人民共和国居民身份证（含中华人民共和国临时居民身份证），居民户口簿，中华人民共和国护照，中华人民共和国出入境通行证，中华人民共和国旅行证，新生儿出生医学证明，军官证、警官证、文职干部证、义务兵证、士官证、军士证、警士证、文职人员证，海员证，以及公安机关出具的临时乘车身份证明；中华人民共和国港澳居民居住证，中华人民共和国台湾居民居住证，港澳居民来往内地通行证，往来港澳通行证，大陆居民往来台湾通行证，台湾居民来往大陆通行证；外国人永久居留身份证，外国人护照，外国人出入境证，公安机关出具的外国人签证证件受理回执、护照报失证明，各国驻华使领馆签发的临时性国际旅行证件（应当附具公安机关签发的有效签证或者停留证件）。,证件/实名制
哪些证件可自动识读进站？,使用中华人民共和国居民身份证、港澳居民居住证、台湾居民居住证、外国人永久居留身份证，港澳居民来往内地通行证，台湾居民来往大陆通行证等可识读证件购票的旅客，凭购票时所使用的有效身份证件原件，可通过实名制核验、检票闸机自助完成实名制验证、进出站检票手续。使用其他证件购票的旅客，凭购票时所使用的有效身份证件原件，通过人工通道完成实名制验证、进出站检票手续。,证件/实名制
如何办理乘坐旅客列车临时身份证明？,旅客购票时或购票后、乘车前因有效身份证件未携带、丢失等原因无法出示有效证件时，可以至车站铁路公安制证口办理乘坐旅客列车临时身份证明（中国居民身份证类型旅客可在铁路12306 APP上申请电子临时乘车身份证明）。乘坐旅客列车临时身份证明仅供旅客购票、退票、改签、实名制核验、检票以及乘车使用，请妥善保管。,证件/实名制
什么是联程车票？,旅客分段购买的，出发地至目的地间可联程接续的多段车票；前段车票到站与后段车票发站应为同一或同城铁路客运营业站，且前段车票到站时间与后段车票开车时间间隔不超过24小时。,其他
去哪里可以购买车票？,请到铁路运输企业或其销售代理人的售票处购买火车票。目前，铁路部门提供以下方式：铁路售票窗口，指铁路车站售票处和铁路客票代售点。铁路车站或指定场所设置的自动售票机。www.12306.cn网站和手机客户端。电话订票。在已经开通电话订票业务的地区，旅客可以先通过电话预订车票，再按规定时间到指定地点支付。在开通铁路乘车卡（如铁路e卡通、中铁银通卡、广深铁路牡丹信用卡等）的线路上，旅客可以在申购卡后，持卡进站、乘车。www.12306.cn是中国铁路客户服务中心官方网站，如通过其他网站办理客票业务出现问题，铁路部门将不予受理。,购票方式
如何购买优待（惠）车票？,购买儿童优惠票、学生优惠票、残疾军人（持中华人民共和国残疾军人证、中华人民共和国伤残人民警察证、国家综合性消防救援队伍残疾人员证的人员）优待票、残疾人专用票额车票时，要符合规定的优惠（待）条件，并请提供相关凭证（证明）。,购票方式
车票有效期是如何规定的？,除有效期有其他规定的车票外，车票当日当次有效。,其他
为什么有“硬卧代硬座”、“软卧代软座”“ 卧代二等座”车票?,为充分发挥铁路运输能力，满足旅客出行需求，部分列车的软、硬卧代作软座（二等座）、硬座使用。,其他
什么是中铁银通卡？,中铁银通卡是由中铁银通支付有限公司发行的双介质预付卡，可在指定线路上直接刷卡检票乘车，也可以作为普通银行卡用于购票付款。更多信息，请拨打中铁银通公司客户服务热线：4008-368-368。,其他
