question,answer
《铁路旅客信用记录管理办法（试行）》制定依据是什么？,按照国务院《征信业管理条例》、国家发展改革委等五部委《关于加强交通出行领域信用建设的指导意见》（发改运行〔2017〕10号）等要求，为推进铁路信用体系建设，弘扬守信行为，规范铁路旅客信用信息记录和使用管理，更好地维护铁路站车秩序，依据国家法律法规和有关规定，制定《铁路旅客信用记录管理办法（试行）》。
哪些失信行为，将纳入铁路旅客信用信息记录管理？,1.扰乱铁路站车运输秩序且危及铁路安全、造成严重社会不良影响的；2.在动车组列车上吸烟或者在其他列车的禁烟区域吸烟的；3.查处的倒卖车票、制贩假票的；4.冒用优惠（待）身份证件、使用伪造和无效优惠（待）身份证件购票乘车的；5.持伪造、过期等无效车票或冒用挂失补车票乘车的；6.无票乘车、越站（席）乘车且拒不补票的；7.依据相关法律、法规应予以行政处罚的。对违规强闯铁路验证、安检和进出站口，站车应当按规定及时通知铁路公安部门处理，并可依法追究民事责任。
铁路旅客信用信息记录期限为多长时间？,铁路旅客信用信息记录期限，自失信行为发生之日起一般为5年；超过5年的，应当予以删除。国家对相关期限另有规定的，从其规定。
纳入铁路旅客信用信息，旅客有异议时如何办理？,在铁路旅客信用信息记录期限内，旅客认为其信用信息存在错误、遗漏，应通过12306客服电话或由所在地车站通过12306客服电话向实施信息采集客运站段书面提出异议。 铁路客运站段自收到异议之日起20日内进行核查和处理，并将结果书面答复旅客。
铁路进站乘车禁止和限制携带物品,根据国务院颁布的《铁路安全管理条例》等国家法律、行政法规、规章等规定，为维护铁路公共安全，确保广大旅客安全旅行，现将铁路进站乘车禁止和限制携带物品公布如下：一、请勿携带以下枪支、子弹类（含主要零部件）：手枪、步枪、冲锋枪、机枪、防暴枪等军用枪以及各类配用子弹（含空包弹、战斗弹、检验弹、教练弹）；气枪、猎枪、运动枪、麻醉注射枪等民用枪以及各类配用子弹；道具枪、仿真枪、发令枪、钢珠枪、消防灭火枪等其他枪支；上述物品的样品、仿制品。军人、武警、公安人员、民兵、射击运动员等人员携带枪支子弹的，按照国家法律法规有关规定办理，并严格执行枪弹分离等有关枪支管理规定二、请勿携带以下爆炸物品类：炸弹、照明弹、燃烧弹、烟幕弹、信号弹、催泪弹、毒气弹、手雷、手榴弹等弹药；炸药、雷管、导火索、导爆索、爆破剂、发爆器等爆破器材；礼花弹、烟花、鞭炮、摔炮、拉炮、砸炮、发令纸等各类烟花爆竹以及黑火药、烟火药、引火线等烟火制品；上述物品的仿制品。三、请勿携带以下器具：匕首、三棱刀（包括机械加工用的三棱刮刀）、带有自锁装置的弹簧刀以及其他类似的单刃、双刃刀等管制刀具；管制刀具以外的，可能危及旅客人身安全的菜刀、餐刀、屠宰刀、斧子等利器、钝器；警棍、催泪器、催泪枪、电击器、电击枪、射钉枪、防卫器、弓、弩等其他器具。四、请勿携带以下易燃易爆物品：氢气、甲烷、乙烷、丁烷、天然气、乙烯、丙烯、乙炔（溶于介质的）、一氧化碳、液化石油气、氟利昂、氧气（供病人吸氧的袋装医用氧气除外）、水煤气等压缩气体和液化气体；汽油、煤油、柴油、苯、乙醇（酒精）、丙酮、乙醚、油漆、稀料、松香油及含易燃溶剂的制品等易燃液体；红磷、闪光粉、固体酒精、赛璐珞、发泡剂H等易燃固体；黄磷、白磷、硝化纤维（含胶片）、油纸及其制品等自燃物品；金属钾、钠、锂、碳化钙（电石）、镁铝粉等遇湿易燃物品；高锰酸钾、氯酸钾、过氧化钠、过氧化钾、过氧化铅、过醋酸、双氧水等氧化剂和有机过氧化物。五、请勿携带以下剧毒性、腐蚀性、放射性、传染性、危险性物品。氰化物、砒霜、硒粉、苯酚等剧毒化学品以及毒鼠强等剧毒农药（含灭鼠药、杀虫药）；硫酸、盐酸、硝酸、氢氧化钠、氢氧化钾、蓄电池（含氢氧化钾固体、注有酸液或碱液的）、汞（水银）等腐蚀性物品；放射性同位素等放射性物品；乙肝病毒、炭疽杆菌、结核杆菌、艾滋病病毒等传染病病原体；《铁路危险货物品名表》所列除上述物品以外的其他危险物品以及不能判明性质可能具有危险性的物品。六、请勿携带以下危害列车运行安全或公共卫生的物品：可能干扰列车信号的强磁化物，有强烈刺激性气味的物品，有恶臭等异味的物品，活动物（导盲犬除外），可能妨碍公共卫生的物品，能够损坏或者污染车站、列车服务设施、设备、备品的物品。七、限量携带以下物品：不超过20毫升的指甲油、去光剂、染发剂；不超过120毫升的冷烫精、摩丝、发胶、杀虫剂、空气清新剂等自喷压力容器；安全火柴2小盒；普通打火机2个。八、其他禁止和限制旅客携带物品按照国家法律、行政法规、规章规定办理。九、违规携带上述物品，依照国家法律法规的规定处理。
旅客持银行卡购票后需退票时，如果银行卡处于挂失、冻结、销卡状态，无法退款怎么办？,对于持银行卡购票的旅客，如退票时已办理银行卡挂失、冻结、销卡业务，导致退票退款失败，由持卡人本人联系发卡行，解除异常状态后，由发卡行向铁路部门发起异常退款请求。若购票时选择“银联”为支付方式的旅客，退票发生上述问题时，由持卡人本人联系发卡行，然后由发卡行联系银联客服办理退款。
身份核验结果有哪几种状态？,12306.cn网站对注册用户和常用联系人（乘车人）进行身份信息核验后，持居民身份证的有“已通过”“待核验”和“未通过”三种状态，持港澳居民来往内地通行证、台湾居民来往大陆通行证、按规定可使用的有效护照的有“已通过”“请报验”“预通过”和“未通过”四种状态。
如何了解自己的身份信息核验结果？,注册用户可登录12306.cn网站“我的12306”->“查看个人信息”、“常用联系人”中分别查看注册用户、常用联系人（乘车人）的身份信息核验状态。
“已通过”的身份证注册用户如何添加常用联系人（乘车人）？,“已通过”的居民身份证注册用户，可以正常添加常用联系人（乘车人），但名下的“已通过”、“请报验”、“预通过”常用联系人（乘车人）总数累计不超过15人，其中“请报验”常用联系人（乘车人）不超过5个。
“已通过”的居民身份证注册用户、常用联系人（乘车人）如何购票？,“已通过”的居民身份证注册用户，可以为“已通过”、“请报验”、“预通过”常用联系人（乘车人）正常办理网上购票、改签、变更到站、退票等业务，但“请报验”常用联系人（乘车人）的购票数量最多为4张车票（含已改、已退车票）。
注册用户、常用联系人（乘车人）核验结果为“待核验”时，怎么办？,待核验”指持居民身份证的注册用户、常用联系人（乘车人），身份信息未经国家身份认证权威部门核验，请持居民身份证原件到车站售票窗口办理身份信息核验。通过核验的，身份信息核验结果变更为“已通过”；未通过核验的，身份信息核验结果变更为“未通过”。“待核验”注册用户不能添加常用联系人（乘车人），不能购票。“已通过”注册用户不能为“待核验”常用联系人（乘车人）购票。
持身份证注册用户、常用联系人（乘车人）核验结果为“未通过”时，怎么办？,“未通过”指注册用户、常用联系人（乘车人）的身份信息经过国家身份认证权威部门核验但未通过，请先修改并确认12306.cn网站所填写的身份信息内容与居民身份证原件完全一致，保存后仍显示“待核验”的，请持居民身份证原件到车站售票窗口办理身份信息核验。通过核验的，身份信息核验结果变更为“已通过”；未通过核验的，身份信息核验结果变更仍保持为“未通过”。“未通过”注册用户不能添加常用联系人，不能购票。“已通过”注册用户不能为“未通过”常用联系人（乘车人）购票。
“已通过”持港澳居民来往内地通行证、台湾居民来往大陆通行证、按规定可使用的有效护照的注册用户如何添加常用联系人（乘车人）？,“已通过”的持港澳居民来往内地通行证、台湾居民来往大陆通行证、按规定可使用的有效护照注册用户，仅可添加持港澳居民来往内地通行证、台湾居民来往大陆通行证、按规定可使用的有效护照的常用联系人（乘车人），并且名下的“已通过”、“请报验”、“预通过”常用联系人（乘车人）总数累计不超过15人，其中“请报验”常用联系人（乘车人）不超过5个。
“已通过”持港澳居民来往内地通行证、台湾居民来往大陆通行证、按规定可使用的有效护照的注册用户、常用联系人（乘车人）如何购票？,“已通过”的持港澳居民来往内地通行证、台湾居民来往大陆通行证、按规定可使用的有效护照注册用户，仅可为名下的“已通过”、“请报验”、“预通过”持港澳居民来往内地通行证、台湾居民来往大陆通行证、按规定可使用的有效护照的常用联系人（乘车人）正常办理网上购票、改签、变更到站、退票等业务，但“请报验”常用联系人（乘车人）的购票数量最多为4张车票（含已改、已退车票）。
“请报验”注册用户如何添加常用联系人（乘车人）？,“请报验”注册用户，仅可添加持港澳居民来往内地通行证、台湾居民来往大陆通行证、按规定可使用的有效护照的常用联系人（乘车人），并且名下的“已通过”、“请报验”、“预通过”常用联系人（乘车人）总数累计不超过15人，其中“请报验”常用联系人（乘车人）不超过5个。
“请报验”注册用户如何购票？,“请报验”注册用户，仅可为“已通过”、“请报验”、“预通过”的持港澳居民来往内地通行证、台湾居民来往大陆通行证、按规定可使用的有效护照的常用联系人（乘车人）正常办理网上购票、改签、变更到站、退票等业务，但购票总数不超过20张（含已改、已退车票），其中“请报验”常用联系人（乘车人）的购票数量最多为4张车票（含已改、已退车票）。
“请报验”常用联系人（乘车人）如何购票？,“已通过”、“请报验”、“预通过”注册用户可以为“请报验”常用联系人（乘车人）正常办理网上购票、改签、变更到站、退票等业务，但购票数量最多为4张（含已改、已退车票）。
